Ti,Nb,Zr,Sn,Modulus,Ms,e/a ratio,Bo,Md,Mo eq.,Bo + Md,Yield Strength (MPa),Hardness (HV),Elongation (%),Corrosion Resistance,Inferred_Phase,Fabrication Method,Heat Treatment,Cooling Rate
79,10,7,4,81.81576576,742.3412195,4.057606271,2.810813397,2.45941746,7.29,5.270230858,568,428,7.674516413,Yes,BCC (β),Powder Metallurgy (Sintering),1000°C/1h → Water Quench,Slow
78,10,7,5,80.13919112,704.0435442,4.057993232,2.808652094,2.457925949,7.59,5.266578043,580,428,10.12056143,Yes,BCC (β),Cold Rolling + Annealing,500°C/4h → Air Cool,Slow
77,10,7,6,77.59997117,664.1945352,4.058385426,2.806461558,2.456414263,7.89,5.262875822,592,489,11.22453666,Yes,BCC (β),Powder Metallurgy (Sintering),1000°C/1h → Water Quench,Slow
76,10,7,7,74.2089565,622.7198484,4.058782961,2.804241193,2.454881993,8.19,5.259123185,604,382,7.613441572,Yes,BCC (β),Powder Metallurgy (Sintering),800°C/1h → Water Quench,Slow
75,10,7,8,70.11777281,579.5757758,4.059185947,2.801990383,2.453328713,8.49,5.255319096,616,393,13.5564548,Yes,BCC (β),Powder Metallurgy (Sintering),1000°C/1h → Water Quench,Slow
74,10,7,9,65.62690931,534.7757965,4.059594496,2.799708501,2.451753989,8.79,5.25146249,628,384,5.430212165,Yes,BCC (β),Arc Melting,500°C/4h → Air Cool,Slow
73,10,7,10,61.13580953,488.4221199,4.060008725,2.797394896,2.450157375,9.09,5.24755227,640,482,6.177867073,Yes,BCC (β),Laser Additive Manufacturing,1000°C/1h → Water Quench,Slow
72,10,7,11,57.04506012,440.7390333,4.060428753,2.795048903,2.448538409,9.39,5.243587312,652,494,10.0557748,Yes,BCC (β),Arc Melting,800°C/1h → Water Quench,Slow
71,10,7,12,53.65627393,392.1028098,4.060854702,2.792669838,2.44689662,9.69,5.239566458,664,436,5.378222379,Yes,BCC (β),Cold Rolling + Annealing,1000°C/1h → Water Quench,Slow
78,10,8,4,80.73243391,722.9895191,4.057914031,2.812670455,2.462356216,7.76,5.275026672,578,406,14.25618195,Yes,BCC (β),Arc Melting,800°C/1h → Water Quench,Slow
77,10,8,5,78.50734975,683.3767411,4.058305151,2.810510069,2.460876529,8.06,5.271386598,590,403,10.14651518,Yes,BCC (β),Cold Rolling + Annealing,700°C/2h → Furnace Cool,Slow
76,10,8,6,75.40901147,642.1462997,4.05870159,2.808320304,2.45937672,8.36,5.267697025,602,375,14.96825274,Yes,BCC (β),Powder Metallurgy (Sintering),800°C/1h → Water Quench,Slow
75,10,8,7,71.53354357,599.2596245,4.059103457,2.806100557,2.457856376,8.66,5.263956934,614,467,12.24162893,Yes,BCC (β),Laser Additive Manufacturing,1000°C/1h → Water Quench,Slow
74,10,8,8,67.12932614,554.7375536,4.059510864,2.803850209,2.456315072,8.96,5.260165281,626,363,9.740721458,Yes,BCC (β),Arc Melting,800°C/1h → Water Quench,Slow
73,10,8,9,62.56938914,508.6918726,4.059923927,2.801568621,2.454752372,9.26,5.256320993,638,434,14.2254992,Yes,BCC (β),Cold Rolling + Annealing,1000°C/1h → Water Quench,Slow
72,10,8,10,58.26720754,461.3582629,4.060342764,2.799255139,2.453167827,9.56,5.252422965,650,472,13.80466804,Yes,BCC (β),Laser Additive Manufacturing,500°C/4h → Air Cool,Slow
71,10,8,11,54.57071131,413.1253114,4.060767497,2.796909089,2.451560975,9.86,5.248470064,662,433,13.80031449,Yes,BCC (β),Cold Rolling + Annealing,500°C/4h → Air Cool,Slow
70,10,8,12,51.68715488,364.5526571,4.061198252,2.794529779,2.449931343,10.16,5.244461122,674,398,13.70485172,Yes,BCC (β),Cold Rolling + Annealing,800°C/1h → Water Quench,Slow
77,10,9,4,79.30762024,703.8752721,4.058225096,2.814547462,2.465326542,8.23,5.279874004,588,429,8.422831565,Yes,BCC (β),Powder Metallurgy (Sintering),800°C/1h → Water Quench,Slow
76,10,9,5,76.51724969,662.8998514,4.058620443,2.812388138,2.463859022,8.53,5.27624716,600,419,12.67122184,Yes,BCC (β),Cold Rolling + Annealing,700°C/2h → Furnace Cool,Slow
75,10,9,6,72.89399775,620.2813495,4.059021196,2.81019929,2.462371436,8.83,5.272570726,612,406,10.64558387,Yes,BCC (β),Laser Additive Manufacturing,500°C/4h → Air Cool,Slow
74,10,9,7,68.63019148,576.0478683,4.059427467,2.807980308,2.460863371,9.13,5.26884368,624,436,11.99871432,Yes,BCC (β),Powder Metallurgy (Sintering),1000°C/1h → Water Quench,Slow
73,10,9,8,64.06049442,530.3205706,4.059839369,2.805730567,2.459334401,9.43,5.265064968,636,366,14.43146953,Yes,BCC (β),Powder Metallurgy (Sintering),1000°C/1h → Water Quench,Slow
72,10,9,9,59.59636057,483.3461854,4.06025702,2.80344942,2.457784088,9.73,5.261233508,648,394,10.30555004,Yes,BCC (β),Cold Rolling + Annealing,800°C/1h → Water Quench,Slow
71,10,9,10,55.62174804,435.5250863,4.060680543,2.801136207,2.456211982,10.03,5.257348189,660,442,11.10561498,Yes,BCC (β),Powder Metallurgy (Sintering),500°C/4h → Air Cool,Slow
70,10,9,11,52.40097825,387.4280224,4.061110062,2.798790247,2.45461762,10.33,5.253407867,672,496,13.98976514,Yes,BCC (β),Powder Metallurgy (Sintering),800°C/1h → Water Quench,Slow
69,10,9,12,50.04102262,339.7944268,4.061545704,2.796410839,2.453000526,10.63,5.249411365,684,356,10.18458552,Yes,BCC (β),Laser Additive Manufacturing,1000°C/1h → Water Quench,Slow
76,10,10,4,77.52489127,685.0149371,4.058539521,2.816444741,2.468328948,8.7,5.284773689,598,468,11.6546191,Yes,BCC (β),Cold Rolling + Annealing,800°C/1h → Water Quench,Slow
75,10,10,5,74.18253421,642.6717571,4.058939164,2.814286629,2.466873946,9,5.281160575,610,438,14.09092571,Yes,BCC (β),Powder Metallurgy (Sintering),500°C/4h → Air Cool,Slow
74,10,10,6,70.10761163,598.7335856,4.059344302,2.812098849,2.465398941,9.3,5.277497789,622,351,5.42617666,Yes,BCC (β),Powder Metallurgy (Sintering),500°C/4h → Air Cool,Slow
73,10,10,7,65.58710127,553.330721,4.059755048,2.809880783,2.463903517,9.6,5.273784301,634,451,14.88608441,Yes,BCC (β),Cold Rolling + Annealing,500°C/4h → Air Cool,Slow
72,10,10,8,61.0156923,506.7205484,4.06017152,2.807631799,2.462387249,9.9,5.270019048,646,387,10.00390447,Yes,BCC (β),Arc Melting,800°C/1h → Water Quench,Slow
71,10,10,9,56.80057076,459.3146569,4.060593837,2.805351246,2.460849697,10.2,5.266200943,658,350,7.273808298,Yes,BCC (β),Laser Additive Manufacturing,800°C/1h → Water Quench,Slow
70,10,10,10,53.25823182,411.694149,4.061022125,2.803038454,2.459290409,10.5,5.262328863,670,402,7.680936522,Yes,BCC (β),Laser Additive Manufacturing,800°C/1h → Water Quench,Slow
69,10,10,11,50.55392678,364.6062322,4.06145651,2.800692735,2.457708922,10.8,5.258401657,682,431,5.959744546,Yes,BCC (β),Cold Rolling + Annealing,500°C/4h → Air Cool,Slow
68,10,10,12,48.70287704,318.9372611,4.061897123,2.798313381,2.456104758,11.1,5.254418138,694,483,12.75747308,Yes,BCC (β),Arc Melting,800°C/1h → Water Quench,Slow
75,10,11,4,75.38531312,666.4503767,4.05885736,2.818362623,2.471363956,9.17,5.289726579,608,466,7.14832818,Yes,BCC (β),Cold Rolling + Annealing,1000°C/1h → Water Quench,Slow
74,10,11,5,71.54111857,622.8097403,4.05926137,2.816205878,2.469921833,9.47,5.286127711,620,354,8.906153757,Yes,BCC (β),Laser Additive Manufacturing,1000°C/1h → Water Quench,Slow
73,10,11,6,67.1265172,577.7324856,4.059670965,2.81401932,2.468459775,9.77,5.282479095,632,441,8.175758688,Yes,BCC (β),Cold Rolling + Annealing,1000°C/1h → Water Quench,Slow
72,10,11,7,62.50592792,531.4862225,4.060086261,2.811802326,2.466977366,10.07,5.278779691,644,403,12.14645512,Yes,BCC (β),Arc Melting,1000°C/1h → Water Quench,Slow
71,10,11,8,58.09529523,484.4931478,4.060507379,2.809554256,2.465474177,10.37,5.275028433,656,372,14.28803566,Yes,BCC (β),Laser Additive Manufacturing,700°C/2h → Furnace Cool,Slow
70,10,11,9,54.25510157,437.3439345,4.06093444,2.807274452,2.46394977,10.67,5.271224222,668,483,12.88677017,Yes,BCC (β),Laser Additive Manufacturing,800°C/1h → Water Quench,Slow
69,10,11,10,51.20948332,390.7926424,4.061367574,2.804962238,2.462403691,10.97,5.267365929,680,479,10.1105359,Yes,BCC (β),Cold Rolling + Annealing,700°C/2h → Furnace Cool,Slow
68,10,11,11,49.02524193,345.7281392,4.061806908,2.802616917,2.460835475,11.27,5.263452392,692,475,8.359804015,Yes,BCC (β),Powder Metallurgy (Sintering),1000°C/1h → Water Quench,Slow
67,10,11,12,47.64406362,303.1218668,4.062252579,2.800237774,2.459244643,11.57,5.259482417,704,499,11.22122845,Yes,BCC (β),Cold Rolling + Annealing,700°C/2h → Furnace Cool,Slow
74,10,12,4,72.91230361,648.2778907,4.05917867,2.820301444,2.474432102,9.64,5.294733546,618,480,11.28978586,Yes,BCC (β),Arc Melting,800°C/1h → Water Quench,Slow
73,10,12,5,68.65618292,603.5220805,4.059587118,2.818146226,2.473003228,9.94,5.291149454,630,479,5.066885571,Yes,BCC (β),Cold Rolling + Annealing,800°C/1h → Water Quench,Slow
72,10,12,6,64.04589188,557.6336792,4.060001244,2.81596105,2.471554493,10.24,5.287515543,642,389,14.42455038,Yes,BCC (β),Powder Metallurgy (Sintering),800°C/1h → Water Quench,Slow
71,10,12,7,59.49103614,511.0448557,4.060421166,2.813745289,2.47008548,10.54,5.283830768,654,401,8.076679563,Yes,BCC (β),Arc Melting,500°C/4h → Air Cool,Slow
70,10,12,8,55.38492874,464.3550537,4.060847008,2.811498294,2.468595759,10.84,5.280094054,666,385,12.76943015,Yes,BCC (β),Cold Rolling + Annealing,700°C/2h → Furnace Cool,Slow
69,10,12,9,52.0080668,418.3242664,4.061278895,2.809219402,2.467084891,11.14,5.276304293,678,444,10.92054258,Yes,BCC (β),Laser Additive Manufacturing,500°C/4h → Air Cool,Slow
68,10,12,10,49.48370095,373.8429158,4.061716956,2.806907927,2.465552422,11.44,5.272460349,690,420,6.457316369,Yes,BCC (β),Arc Melting,800°C/1h → Water Quench,Slow
67,10,12,11,47.79352426,331.8785578,4.062161326,2.804563167,2.463997885,11.74,5.268561052,702,367,14.74454255,Yes,BCC (β),Powder Metallurgy (Sintering),500°C/4h → Air Cool,Slow
66,10,12,12,46.8280214,293.4051459,4.062612141,2.802184397,2.462420799,12.04,5.264605196,714,394,9.313830495,Yes,BCC (β),Powder Metallurgy (Sintering),700°C/2h → Furnace Cool,Slow
81,11,4,4,82.23251553,779.6729286,4.062707099,2.80720267,2.450674843,6.16,5.257877513,553,294,14.54933922,No,BCC (β),Laser Additive Manufacturing,500°C/4h → Air Cool,Slow
80,11,4,5,81.56923974,744.185024,4.063123908,2.80504002,2.449140853,6.46,5.254180873,565,391,14.38704956,No,BCC (β),Arc Melting,800°C/1h → Water Quench,Slow
79,11,4,6,80.17849719,707.3383579,4.063546296,2.802848429,2.447586334,6.76,5.250434763,577,393,13.52393486,No,BCC (β),Powder Metallurgy (Sintering),1000°C/1h → Water Quench,Slow
78,11,4,7,77.95335464,669.0550405,4.063974374,2.80062731,2.446010871,7.06,5.246638181,589,494,5.365950035,Yes,BCC (β),Arc Melting,700°C/2h → Furnace Cool,Slow
77,11,4,8,74.86733187,629.2467587,4.064408259,2.798376063,2.444414038,7.36,5.242790101,601,490,8.198791583,Yes,BCC (β),Cold Rolling + Annealing,1000°C/1h → Water Quench,Slow
76,11,4,9,71.02345911,587.8250097,4.06484807,2.79609407,2.442795397,7.66,5.238889468,613,391,7.891802695,Yes,BCC (β),Arc Melting,500°C/4h → Air Cool,Slow
75,11,4,10,66.67773779,544.717466,4.065293928,2.793780699,2.441154499,7.96,5.234935197,625,385,9.08167713,Yes,BCC (β),Powder Metallurgy (Sintering),500°C/4h → Air Cool,Slow
74,11,4,11,62.20893722,499.8910892,4.065745959,2.791435296,2.43949088,8.26,5.230926176,637,364,9.098576327,Yes,BCC (β),Arc Melting,800°C/1h → Water Quench,Slow
73,11,4,12,58.0320085,453.3815938,4.066204294,2.789057193,2.437804066,8.56,5.226861259,649,455,14.92217124,Yes,BCC (β),Laser Additive Manufacturing,700°C/2h → Furnace Cool,Slow
80,11,5,4,81.75440824,759.0914828,4.063038602,2.809021201,2.45353662,6.63,5.26255782,563,394,7.786604487,No,BCC (β),Laser Additive Manufacturing,700°C/2h → Furnace Cool,Slow
79,11,5,5,80.63986673,722.4317239,4.063459845,2.806859194,2.452013589,6.93,5.258872783,575,357,10.19102869,No,BCC (β),Arc Melting,1000°C/1h → Water Quench,Slow
78,11,5,6,78.72110907,684.3371122,4.063886756,2.804668098,2.450470067,7.23,5.255138166,587,412,12.24908471,Yes,BCC (β),Arc Melting,700°C/2h → Furnace Cool,Slow
77,11,5,7,75.93552479,644.7202611,4.064319449,2.802447323,2.448905638,7.53,5.251352961,599,453,7.164230299,Yes,BCC (β),Laser Additive Manufacturing,800°C/1h → Water Quench,Slow
76,11,5,8,72.33349464,603.4949917,4.064758043,2.800196261,2.447319872,7.83,5.247516133,611,458,5.962046736,Yes,BCC (β),Powder Metallurgy (Sintering),1000°C/1h → Water Quench,Slow
75,11,5,9,68.11510297,560.5931651,4.06520266,2.797914288,2.445712331,8.13,5.243626619,623,460,10.0033657,Yes,BCC (β),Powder Metallurgy (Sintering),1000°C/1h → Water Quench,Slow
74,11,5,10,63.62191119,515.9882053,4.065653425,2.795600763,2.444082564,8.43,5.239683327,635,367,9.92415486,Yes,BCC (β),Powder Metallurgy (Sintering),800°C/1h → Water Quench,Slow
73,11,5,11,59.26865263,469.7247947,4.066110465,2.793255027,2.442430105,8.73,5.235685132,647,384,7.244109273,Yes,BCC (β),Laser Additive Manufacturing,500°C/4h → Air Cool,Slow
72,11,5,12,55.43761388,421.9525972,4.066573913,2.790876403,2.440754479,9.03,5.231630882,659,418,8.588095744,Yes,BCC (β),Powder Metallurgy (Sintering),500°C/4h → Air Cool,Slow
79,11,6,4,81.00319197,738.6484664,4.06337363,2.810859061,2.456428815,7.1,5.267287876,573,476,5.994161886,No,BCC (β),Laser Additive Manufacturing,500°C/4h → Air Cool,Slow
78,11,6,5,79.38415113,700.7586273,4.063799377,2.808697834,2.454917066,7.4,5.2636149,585,467,13.48982892,Yes,BCC (β),Cold Rolling + Annealing,700°C/2h → Furnace Cool,Slow
77,11,6,6,76.90805077,661.3498757,4.064230883,2.806507372,2.453384868,7.7,5.259892239,597,447,6.396514883,Yes,BCC (β),Powder Metallurgy (Sintering),800°C/1h → Water Quench,Slow
76,11,6,7,73.57769339,620.3384307,4.064668267,2.804287077,2.451831802,8,5.256118879,609,475,12.26817451,Yes,BCC (β),Powder Metallurgy (Sintering),500°C/4h → Air Cool,Slow
75,11,6,8,69.53603005,577.6604131,4.065111647,2.802036337,2.45025744,8.3,5.252293777,621,365,7.993286385,Yes,BCC (β),Laser Additive Manufacturing,500°C/4h → Air Cool,Slow
74,11,6,9,65.07773196,533.2957526,4.06556115,2.79975452,2.44866134,8.6,5.248415861,633,396,11.94080069,Yes,BCC (β),Cold Rolling + Annealing,1000°C/1h → Water Quench,Slow
73,11,6,10,60.60245983,487.2980792,4.066016902,2.79744098,2.44704305,8.9,5.24448403,645,411,7.678651206,Yes,BCC (β),Powder Metallurgy (Sintering),800°C/1h → Water Quench,Slow
72,11,6,11,56.51752764,439.828309,4.066479035,2.795095048,2.445402103,9.2,5.240497152,657,455,9.936133822,Yes,BCC (β),Arc Melting,700°C/2h → Furnace Cool,Slow
71,11,6,12,53.13493032,391.1875785,4.066947684,2.792716041,2.44373802,9.5,5.236454062,669,410,9.077561035,Yes,BCC (β),Powder Metallurgy (Sintering),800°C/1h → Water Quench,Slow
78,11,7,4,79.94276251,718.3797988,4.063712237,2.812716561,2.459351917,7.57,5.272068478,583,362,12.04584419,Yes,BCC (β),Laser Additive Manufacturing,500°C/4h → Air Cool,Slow
77,11,7,5,77.77855548,679.194306,4.064142562,2.810556254,2.457851779,7.87,5.268408033,595,484,14.78606282,Yes,BCC (β),Arc Melting,800°C/1h → Water Quench,Slow
76,11,7,6,74.74175386,638.4123243,4.064578739,2.808366567,2.456331239,8.17,5.264697806,607,440,5.523881454,Yes,BCC (β),Powder Metallurgy (Sintering),700°C/2h → Furnace Cool,Slow
75,11,7,7,70.9197454,595.9742784,4.065020888,2.806146895,2.454789878,8.47,5.260936772,619,387,5.71454864,Yes,BCC (β),Arc Melting,800°C/1h → Water Quench,Slow
74,11,7,8,66.55366951,551.8666121,4.065469134,2.803896618,2.453227264,8.77,5.257123883,631,487,11.76822018,Yes,BCC (β),Cold Rolling + Annealing,500°C/4h → Air Cool,Slow
73,11,7,9,62.01436825,506.1518387,4.065923604,2.801615101,2.451642957,9.07,5.253258057,643,385,14.73526553,Yes,BCC (β),Arc Melting,800°C/1h → Water Quench,Slow
72,11,7,10,57.71983646,459.0019439,4.066384427,2.799301686,2.4500365,9.37,5.249338186,655,445,10.75427059,Yes,BCC (β),Cold Rolling + Annealing,1000°C/1h → Water Quench,Slow
71,11,7,11,54.02747556,410.7306651,4.066851738,2.796955701,2.448407425,9.67,5.245363126,667,490,9.892720924,Yes,BCC (β),Arc Melting,800°C/1h → Water Quench,Slow
70,11,7,12,51.15495395,361.8182267,4.067325674,2.794576453,2.446755253,9.97,5.241331705,679,457,14.65483587,Yes,BCC (β),Powder Metallurgy (Sintering),700°C/2h → Furnace Cool,Slow
77,11,8,4,78.54340556,698.3073175,4.064054482,2.814594017,2.462306423,8.04,5.27690044,593,486,8.28809706,Yes,BCC (β),Arc Melting,800°C/1h → Water Quench,Slow
76,11,8,5,75.81430102,657.7682345,4.064489458,2.812434776,2.460818235,8.34,5.273253011,605,484,6.780922774,Yes,BCC (β),Arc Melting,500°C/4h → Air Cool,Slow
75,11,8,6,72.24744655,615.5838699,4.064930382,2.810246009,2.459309697,8.64,5.269555706,617,361,12.66231167,Yes,BCC (β),Cold Rolling + Annealing,800°C/1h → Water Quench,Slow
74,11,8,7,68.02701182,571.7471546,4.065377377,2.808027106,2.45778039,8.94,5.265807496,629,410,5.81538707,Yes,BCC (β),Laser Additive Manufacturing,1000°C/1h → Water Quench,Slow
73,11,8,8,63.48333016,526.3293774,4.065830569,2.80577744,2.45622988,9.24,5.26200732,641,456,8.939455421,Yes,BCC (β),Cold Rolling + Annealing,700°C/2h → Furnace Cool,Slow
72,11,8,9,59.02995673,479.5133605,4.066290087,2.803496367,2.454657724,9.54,5.258154091,653,441,6.601883857,Yes,BCC (β),Cold Rolling + Annealing,700°C/2h → Furnace Cool,Slow
71,11,8,10,55.05887599,431.62504,4.066756066,2.801183226,2.453063465,9.84,5.254246691,665,464,6.495677182,Yes,BCC (β),Cold Rolling + Annealing,800°C/1h → Water Quench,Slow
70,11,8,11,51.84489476,383.1569769,4.067228643,2.798837334,2.451446635,10.14,5.250283969,677,401,9.751105935,Yes,BCC (β),Arc Melting,800°C/1h → Water Quench,Slow
69,11,8,12,49.50395221,334.776404,4.067707958,2.796457992,2.449806749,10.44,5.246264741,689,413,5.731557989,Yes,BCC (β),Powder Metallurgy (Sintering),1000°C/1h → Water Quench,Slow
76,11,9,4,76.78694007,678.4506355,4.064400424,2.816491753,2.465292842,8.51,5.281784594,603,497,12.00031992,Yes,BCC (β),Laser Additive Manufacturing,500°C/4h → Air Cool,Slow
75,11,9,5,73.50281028,636.5306655,4.064840127,2.814333728,2.463816952,8.81,5.27815068,615,364,7.899337447,Yes,BCC (β),Laser Additive Manufacturing,500°C/4h → Air Cool,Slow
74,11,9,6,69.47585859,592.9755552,4.065285876,2.812146031,2.46232077,9.11,5.274466801,627,476,13.7333464,Yes,BCC (β),Arc Melting,800°C/1h → Water Quench,Slow
73,11,9,7,64.98697947,547.8652182,4.065737796,2.809928048,2.460803875,9.41,5.270731922,639,411,6.018617015,Yes,BCC (β),Cold Rolling + Annealing,500°C/4h → Air Cool,Slow
72,11,9,8,60.43050884,501.3930317,4.066196016,2.807679144,2.459265832,9.71,5.266944976,651,480,13.49508955,Yes,BCC (β),Laser Additive Manufacturing,800°C/1h → Water Quench,Slow
71,11,9,9,56.21975846,453.8966775,4.066660668,2.805398668,2.457706198,10.01,5.263104866,663,490,10.98116702,Yes,BCC (β),Laser Additive Manufacturing,500°C/4h → Air Cool,Slow
70,11,9,10,52.6812447,405.880406,4.06713189,2.803085951,2.456124514,10.31,5.259210465,675,420,13.32148868,Yes,BCC (β),Powder Metallurgy (Sintering),800°C/1h → Water Quench,Slow
69,11,9,11,49.99003237,358.0214166,4.067609822,2.800740304,2.454520308,10.61,5.255260613,687,493,10.54949923,Yes,BCC (β),Laser Additive Manufacturing,700°C/2h → Furnace Cool,Slow
68,11,9,12,48.16798419,311.1541062,4.068094607,2.79836102,2.452893097,10.91,5.251254117,699,383,12.49076955,Yes,BCC (β),Arc Melting,800°C/1h → Water Quench,Slow
75,11,10,4,74.67233487,658.8467611,4.064750123,2.818410098,2.468311694,8.98,5.286721791,613,352,7.324008557,Yes,BCC (β),Arc Melting,700°C/2h → Furnace Cool,Slow
74,11,10,5,70.87985285,615.5800453,4.065194631,2.816253443,2.466848459,9.28,5.283101902,625,350,11.0493386,Yes,BCC (β),Arc Melting,800°C/1h → Water Quench,Slow
73,11,10,6,66.50239869,570.7833662,4.065645284,2.814066973,2.465364996,9.58,5.279431969,637,358,9.563071368,Yes,BCC (β),Powder Metallurgy (Sintering),500°C/4h → Air Cool,Slow
72,11,10,7,61.90172219,524.6603292,4.066102211,2.811850065,2.463860881,9.88,5.275710946,649,373,6.753048974,Yes,BCC (β),Laser Additive Manufacturing,500°C/4h → Air Cool,Slow
71,11,10,8,57.49766351,477.5598636,4.066565543,2.809602079,2.46233568,10.18,5.271937759,661,439,5.554263771,Yes,BCC (β),Powder Metallurgy (Sintering),500°C/4h → Air Cool,Slow
70,11,10,9,53.65971157,429.9972213,4.067035416,2.807322357,2.460788947,10.48,5.268111304,673,480,12.73497336,Yes,BCC (β),Arc Melting,1000°C/1h → Water Quench,Slow
